dataset,mitigation,protected_attribute,model,seed,accuracy,f1,roc_auc,age_dpd,age_eod,age_eopd,age_di_ratio,sex_dpd,sex_eod,sex_eopd,sex_di_ratio,intersection_dpd,intersection_eod,intersection_eopd,intersection_di_ratio
German Credit,Calibrated Equalized Odds,Age,Logistic Regression,42,0.7,0.8228346456692913,,0.007905138339920903,0.01449275362318836,0.005434782608695676,0.9920948616600791,0.009803921568627416,0.01754385964912286,0.006802721088435382,0.9901960784313726,0.010695187165775444,0.020408163265306145,0.007246376811594235,0.9893048128342246
German Credit,Calibrated Equalized Odds,Age,Logistic Regression,123,0.7,0.8235294117647058,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
German Credit,Calibrated Equalized Odds,Age,Logistic Regression,456,0.7233333333333334,0.8349900596421471,,0.16279069767441856,0.31818181818181823,0.0,0.8372093023255814,0.03249293631819172,0.07327586206896552,0.0,0.9670450788052463,0.16666666666666663,0.375,0.0,0.8333333333333334
German Credit,Calibrated Equalized Odds,Age,Logistic Regression,789,0.7,0.8221343873517787,,0.08163265306122447,0.08695652173913049,0.08695652173913049,0.9183673469387755,0.026001726677162162,0.032786885245901676,0.032786885245901676,0.973869551903644,0.11111111111111116,0.1428571428571429,0.1428571428571429,0.8888888888888888
German Credit,Calibrated Equalized Odds,Age,Logistic Regression,1000,0.7033333333333334,0.825147347740668,,0.020000000000000018,0.03703703703703709,0.0,0.98,0.01041666666666663,0.02564102564102566,0.0,0.9895833333333334,0.032258064516129004,0.052631578947368474,0.0,0.967741935483871
German Credit,Calibrated Equalized Odds,Age,Random Forest,42,0.6933333333333334,0.8188976377952756,,0.007905138339920903,0.010869565217391353,0.010869565217391353,0.9920948616600791,0.009803921568627416,0.013605442176870763,0.013605442176870763,0.9901960784313726,0.010695187165775444,0.01449275362318836,0.01449275362318836,0.9893048128342246
German Credit,Calibrated Equalized Odds,Age,Random Forest,123,0.7,0.8235294117647058,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
German Credit,Calibrated Equalized Odds,Age,Random Forest,456,0.7,0.8235294117647058,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
German Credit,Calibrated Equalized Odds,Age,Random Forest,789,0.7,0.8235294117647058,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
German Credit,Calibrated Equalized Odds,Age,Random Forest,1000,0.71,0.8284023668639053,,0.03600000000000003,0.05820105820105814,0.0,0.963855421686747,0.03125,0.07692307692307687,0.0,0.96875,0.06451612903225812,0.10526315789473684,0.0,0.9354838709677419
German Credit,Calibrated Equalized Odds,Age,XGBoost,42,0.69,0.8151093439363817,,0.02766798418972327,0.02898550724637683,0.02717391304347827,0.9723320158102767,0.003676470588235281,0.06060606060606055,0.03401360544217691,0.9962453066332916,0.030303030303030276,0.09999999999999998,0.036231884057971064,0.9696969696969697
