dataset,mitigation,protected_attribute,strength,alpha,accuracy_mean,accuracy_std,f1_mean,f1_std,auc_mean,auc_std,age_dpd_mean,age_dpd_std,age_eod_mean,age_eod_std,age_eopd_mean,age_eopd_std,age_di_mean,age_di_std,sex_dpd_mean,sex_dpd_std,sex_eod_mean,sex_eod_std,sex_eopd_mean,sex_eopd_std,sex_di_mean,sex_di_std,intersection_dpd_mean,intersection_dpd_std,intersection_eod_mean,intersection_eod_std,intersection_eopd_mean,intersection_eopd_std,intersection_di_mean,intersection_di_std
Adult Income,Adversarial Debiasing,Age,medium,1.0,0.5752891800593715,0.30562644591071,0.3897391572980378,0.13905983904950325,,,0.04784785409157131,0.055962076220013285,0.06572527374029716,0.1020660873715011,0.06572527374029716,0.1020660873715011,0.5664693834538259,0.40544959047693374,0.03831440797512141,0.046017179076072695,0.012526451069306948,0.016086279490215613,0.008727751540189638,0.014811881232155027,0.6870281751502133,0.28826421917145467,0.0632173567587859,0.07534717463481444,0.24104895104895102,0.260879184765598,0.24104895104895102,0.260879184765598,0.5282782254729264,0.4357144347040948
Adult Income,Adversarial Debiasing,Age,strong,10.0,0.8094789640700174,0.05184090553163796,0.5111522493028493,0.11782376419299329,,,0.17433804799738767,0.08585848651667534,0.2059013085231331,0.14451128044045472,0.14376038293328947,0.12012779130965373,0.1604487339142055,0.13206081454910668,0.09765119183274826,0.059463441986903814,0.07675788061857096,0.03655891173986165,0.07675788061857096,0.03655891173986165,0.4530801832318104,0.24552510475303355,0.22312520680306788,0.10894012533465434,0.3444837808773068,0.17110873083738126,0.33693367418348885,0.16708434710514267,0.11964759175672095,0.10095409384639267
Adult Income,Adversarial Debiasing,Age,weak,0.1,0.843566383457877,0.007662797145891564,0.6191826846013526,0.04138800027681541,,,0.19267565646528334,0.028885541387868127,0.2650499619780721,0.08304380006316185,0.2650499619780721,0.08304380006316185,0.05982708502025104,0.02023928104402124,0.15112112051360108,0.01741754533001251,0.08998750792596358,0.03704037748085925,0.08998750792596358,0.03704037748085925,0.3150038275531674,0.046355530520362426,0.2463825889232249,0.03434717920862491,0.371682719824394,0.13752093879598623,0.371682719824394,0.13752093879598623,0.03669807453217209,0.018125570652548897
Adult Income,Adversarial Debiasing,Sex,medium,1.0,0.8085781553894973,0.028159761658781694,0.41609232002732066,0.23545228620930772,,,0.11385494601886041,0.06837567407074682,0.11116423425235292,0.10279936822633154,0.10675874445513966,0.1078314831444524,0.10372176366677481,0.02444471010649851,0.012249900598255694,0.011935838642283585,0.2681676222190331,0.15451384590416553,0.2681676222190331,0.15451384590416553,0.8860511611574169,0.09556313741027321,0.13820639601331722,0.08017729163900167,0.5053705363471698,0.3145644058405391,0.5053705363471698,0.3145644058405391,0.025120153143014523,0.008912515819076889
Adult Income,Adversarial Debiasing,Sex,strong,10.0,0.8234005527689631,0.01830430019114301,0.5451397219496437,0.059467690518581334,,,0.15767199961048528,0.022851216429859298,0.17643305615774751,0.1239616694436587,0.16313083442137677,0.14093246345409083,0.10626538507510663,0.0389169871828355,0.04967288026012846,0.038875124306193415,0.3233529319366994,0.1313701615308961,0.3233529319366994,0.1313701615308961,0.7357415589192733,0.17889255305111984,0.20653800934821703,0.027129866437551817,0.5801124101039743,0.13068515732714628,0.5801124101039743,0.13068515732714628,0.02957231394835948,0.014094114053580417
Adult Income,Adversarial Debiasing,Sex,weak,0.1,0.7790561981779097,0.024979338175766502,0.17746645852177648,0.22357058618688586,,,0.04662825430872568,0.06549792569294974,0.06528781962463787,0.08481328013890112,0.06528781962463787,0.08481328013890112,0.015902485968338414,0.01378124526456824,0.02872442420055487,0.050269645077274126,0.07175317492093,0.11340070252117063,0.07175317492093,0.11340070252117063,0.49332716326940756,0.19656722637658222,0.05622892341340287,0.08205496397878809,0.11248842035840845,0.13986518646752644,0.11248842035840845,0.13986518646752644,0.0068028404479316545,0.0067997601116977155
German Credit,Adversarial Debiasing,Age,medium,1.0,0.6966666666666667,0.0135400640077266,0.8073473349953483,0.009758896236608753,,,0.05608060604906906,0.046523667178092594,0.09314838803329853,0.06100178494401737,0.05218980440585193,0.06608371884037721,0.9361756293280804,0.05678404400659031,0.03715912116942628,0.026799037267853553,0.0637048519765574,0.04517025399538163,0.03836368096742611,0.026682720011513433,0.9582143920834353,0.031101973052536442,0.14637983179878714,0.08654391769518475,0.2168261150614092,0.08087042184531484,0.12660761016205327,0.08588151525537993,0.8446647541522887,0.09490691620503044
German Credit,Adversarial Debiasing,Age,strong,10.0,0.6606666666666666,0.032093613071762415,0.7742491881297069,0.035583480154733435,,,0.06719085967001008,0.03712677611018757,0.1493167231517421,0.1087270563556324,0.03037957399560316,0.048103114783202484,0.9219215854762821,0.04449790397924786,0.07720826552867491,0.06967949432811617,0.11340286741485928,0.07444453033872638,0.07544702400956385,0.09030220373367016,0.9083094149819185,0.08443349203223884,0.15556838854201466,0.052458349448235894,0.2778554999817458,0.11478513035939239,0.1265602939635135,0.08148147300640947,0.8273329395501653,0.06585539591756785
German Credit,Adversarial Debiasing,Age,weak,0.1,0.7046666666666667,0.010434983894999007,0.8137014053194601,0.007819414919876741,,,0.06607852791331395,0.05500324446384389,0.09946210118606855,0.0714056746388343,0.07623531613063902,0.08712298120610053,0.92497126213475,0.06389783416346162,0.026930822364653783,0.016733229230199452,0.038641792691344226,0.020518919846989597,0.031783314253639096,0.01919267110586657,0.9700654780002459,0.018655494439578778,0.13390698808797735,0.07220809007529647,0.18621435772365716,0.09128296289871152,0.17425976193185205,0.1022600003880667,0.8531679150985193,0.08465943784395477
German Credit,Adversarial Debiasing,Sex,medium,1.0,0.702,0.015563490039905023,0.8112789563580829,0.015040858567290849,,,0.05456405433791287,0.0586317026396674,0.07996486824012401,0.07118930555529909,0.05549895212867188,0.0792308068719902,0.935981618222591,0.07150235075418647,0.035483367437394886,0.03096932010029847,0.05707922848188551,0.03681430443188226,0.03780065464444131,0.031846258664360395,0.9602465346074828,0.035908777119475856,0.15886997208260972,0.10608177041059678,0.19497373513052957,0.11227083576185204,0.1486711022255453,0.1340250024157566,0.8260480727794525,0.12589069225354277
