dataset,model,seed,accuracy,f1,roc_auc,age_dpd,age_eod,age_eopd,age_di_ratio,sex_dpd,sex_eod,sex_eopd,sex_di_ratio,intersection_dpd,intersection_eod,intersection_eopd,intersection_di_ratio
German Credit,Logistic Regression,42,0.7066666666666667,0.8174273858921162,0.6473544973544973,0.04070305272895458,0.03105590062111796,0.017140468227424654,0.9554204660587641,0.01593137254901955,0.023923444976076458,0.0022675736961451642,0.9825268817204301,0.10784313725490191,0.11764705882352944,0.11764705882352944,0.8854166666666667
German Credit,Logistic Regression,123,0.7133333333333334,0.823045267489712,0.6586243386243388,0.10697165923807928,0.10478186321204042,0.10478186321204042,0.8858066253703204,0.02244039270687237,0.026003391746749482,0.023544520547945202,0.9760119940029985,0.16547619047619055,0.19387755102040816,0.19387755102040816,0.8271144278606964
German Credit,Logistic Regression,456,0.6933333333333334,0.7991266375545851,0.6452910052910052,0.17772147316984888,0.28042328042328035,0.28042328042328035,0.791441010937666,0.0015214083894805608,0.0431034482758621,0.0014245014245014564,0.9981605570884247,0.2758913412563667,0.36363636363636365,0.36363636363636365,0.6772591857000994
German Credit,Logistic Regression,789,0.6966666666666667,0.8100208768267223,0.6113756613756615,0.0960240669973168,0.10974192048360842,0.10974192048360842,0.894750913465823,0.0003554923569143442,0.014963142259874607,0.014963142259874607,0.9996036464526358,0.11375661375661383,0.19300911854103342,0.19300911854103342,0.8774928774928774
German Credit,Logistic Regression,1000,0.7233333333333334,0.8309572301425662,0.6857142857142857,0.06799999999999995,0.05820105820105825,0.01674029295512669,0.9282700421940929,0.0447303921568627,0.03302373581011353,0.03302373581011353,0.9529639175257733,0.11264167393199653,0.1105263157894737,0.08333333333333337,0.8815982404692082
German Credit,Random Forest,42,0.66,0.7702702702702703,0.5857407407407408,0.06710957867294587,0.051421404682274185,0.051421404682274185,0.9151063829787235,0.03247549019607843,0.09090909090909094,0.015873015873015817,0.959511077158136,0.12745098039215685,0.2692307692307693,0.18300653594771232,0.8470588235294118
German Credit,Random Forest,123,0.68,0.7876106194690266,0.6312962962962962,0.07350096711798848,0.19444444444444442,0.016765098113926458,0.9101654846335696,0.01589527816736802,0.0825325042396835,0.01690924657534243,0.9804147465437787,0.08054169636493236,0.2647058823529411,0.025757575757575757,0.9017391304347825
German Credit,Random Forest,456,0.6633333333333333,0.766743648960739,0.6185714285714287,0.18903266672699304,0.17647058823529416,0.13756613756613756,0.7546394174301151,0.04770702021299711,0.061422413793103425,0.017094017094017033,0.936979615274189,0.2531713900134953,0.32499999999999996,0.17053291536050152,0.6752077562326869
German Credit,Random Forest,789,0.67,0.7755102040816326,0.6193386243386243,0.18855191478982025,0.234375,0.0843989769820972,0.7645446238196771,0.010512416840180894,0.04629629629629639,0.030696446253713372,0.9864075119837151,0.2873015873015873,0.2775919732441471,0.2507598784194528,0.6591337099811676
German Credit,Random Forest,1000,0.67,0.7814569536423841,0.5916402116402116,0.10799999999999998,0.09523809523809523,0.0676586840269704,0.8695652173913043,0.04227941176470584,0.20814479638009042,0.07120743034055732,0.9486607142857143,0.15334987593052118,0.23720930232558146,0.18333333333333335,0.8154121863799282
