dataset,mitigation,protected_attribute,strength,alpha,seed,accuracy,f1,roc_auc,age_dpd,age_eod,age_eopd,age_di_ratio,sex_dpd,sex_eod,sex_eopd,sex_di_ratio,intersection_dpd,intersection_eod,intersection_eopd,intersection_di_ratio
German Credit,Adversarial Debiasing,Age,strong,10.0,456,0.6566666666666666,0.7541766109785203,,0.055470093204234905,0.21256684491978617,0.010582010582010581,0.9254620622568094,0.19702238643773096,0.23361823361823364,0.23361823361823364,0.7646677050882659,0.20713073005093385,0.3571428571428571,0.26489028213166144,0.7530364372469635
German Credit,Adversarial Debiasing,Age,strong,10.0,789,0.6733333333333333,0.7896995708154506,,0.019839011301731824,0.01081730769230771,0.0074401302022785165,0.9768391077361177,0.04915951449900968,0.10185185185185186,0.0358675321817582,0.94455264062321,0.19865319865319864,0.3846153846153846,0.05775075987841949,0.7854545454545455
German Credit,Adversarial Debiasing,Age,strong,10.0,1000,0.6833333333333333,0.8065173116089613,,0.051999999999999935,0.11111111111111116,0.01534526854219953,0.9469387755102041,0.016544117647058765,0.04675716440422317,0.006191950464396245,0.9825468648998061,0.07567567567567568,0.11627906976744184,0.08333333333333337,0.9243243243243243
German Credit,Adversarial Debiasing,Sex,weak,0.1,42,0.71,0.8213552361396304,,0.010007568749474394,0.010451505016722429,0.010451505016722429,0.9891798508819786,0.0404411764705882,0.05901116427432207,0.0226757369614512,0.9568062827225131,0.1333333333333333,0.23076923076923073,0.06521739130434778,0.8666666666666667
German Credit,Adversarial Debiasing,Sex,weak,0.1,123,0.72,0.8264462809917356,,0.023379026154234372,0.02476662221375503,0.02476662221375503,0.9745047688921495,0.04768583450210384,0.05879027699265116,0.04601883561643838,0.9496047430830039,0.12318840579710144,0.1428571428571429,0.1428571428571429,0.8712121212121212
German Credit,Adversarial Debiasing,Sex,weak,0.1,456,0.7033333333333334,0.802660753880266,,0.17763098362139174,0.26984126984126977,0.26984126984126977,0.7856752920624522,0.031188871984351274,0.1293103448275862,0.01139601139601143,0.9622219297090956,0.3285229202037352,0.36363636363636365,0.36363636363636365,0.6156901688182721
German Credit,Adversarial Debiasing,Sex,weak,0.1,789,0.6933333333333334,0.8059071729957806,,0.12488820229286934,0.11298076923076927,0.09369913973494537,0.8612967310818133,0.00548473922096393,0.011992518428870058,0.011992518428870058,0.9937798767494096,0.14155844155844155,0.17173252279635265,0.17173252279635265,0.8451704545454546
German Credit,Adversarial Debiasing,Sex,weak,0.1,1000,0.7066666666666667,0.8189300411522634,,0.02400000000000002,0.009997674959311809,0.009997674959311809,0.974025974025974,0.020220588235294157,0.02865761689291102,0.02442380460956317,0.9781746031746031,0.07640067911714765,0.08333333333333337,0.08333333333333337,0.9193548387096775
German Credit,Adversarial Debiasing,Sex,medium,1.0,42,0.6966666666666667,0.8123711340206186,,0.0021024304095534907,0.0496894409937888,0.017140468227424654,0.9977072633895817,0.0,0.019138755980861233,0.0022675736961451642,1.0,0.1333333333333333,0.16326530612244894,0.11764705882352944,0.8666666666666667
German Credit,Adversarial Debiasing,Sex,medium,1.0,123,0.7266666666666667,0.8305785123966942,,0.023379026154234372,0.04166666666666663,0.009716136406934694,0.9745047688921495,0.04768583450210384,0.075183719615602,0.0391695205479452,0.9496047430830039,0.12318840579710144,0.17500000000000004,0.0714285714285714,0.8712121212121212
German Credit,Adversarial Debiasing,Sex,medium,1.0,456,0.6866666666666666,0.7901785714285714,,0.13881096733327303,0.1957671957671958,0.1957671957671958,0.8293090018916212,0.07780917191914793,0.11206896551724133,0.08689458689458696,0.9083344002048395,0.3446519524617997,0.38636363636363635,0.38636363636363635,0.6042884990253411
German Credit,Adversarial Debiasing,Sex,medium,1.0,789,0.6933333333333334,0.8050847457627118,,0.09252784779250345,0.09735576923076927,0.03952569169960474,0.8958543058478997,0.010867909197095127,0.03703703703703698,0.018703927824843203,0.9876056990617398,0.11677548970366647,0.16135084427767354,0.07902735562310037,0.8687182382834557
German Credit,Adversarial Debiasing,Sex,medium,1.0,1000,0.7066666666666667,0.8181818181818182,,0.016000000000000014,0.01534526854219953,0.01534526854219953,0.982532751091703,0.04105392156862753,0.04196766425868603,0.04196766425868603,0.9556878306878306,0.07640067911714765,0.0888888888888889,0.0888888888888889,0.9193548387096775
German Credit,Adversarial Debiasing,Sex,strong,10.0,42,0.69,0.8042105263157895,,0.012194096375409913,0.04554865424430632,0.015468227424749181,0.9863542254846603,0.033700980392156854,0.08931419457735246,0.015873015873015817,0.9628127112914131,0.03743315508021383,0.17307692307692313,0.11764705882352944,0.9588235294117647
German Credit,Adversarial Debiasing,Sex,strong,10.0,123,0.6866666666666666,0.8016877637130801,,0.06660499537465314,0.08333333333333326,0.07048961706991808,0.9288537549407114,0.01309022907900892,0.042962125494629744,0.0021404109589041598,0.985193019566367,0.17142857142857137,0.2857142857142857,0.12244897959183676,0.8285714285714286
German Credit,Adversarial Debiasing,Sex,strong,10.0,456,0.7033333333333334,0.8,,0.09999095104515432,0.14814814814814814,0.14814814814814814,0.8746454906409529,0.12442947185394482,0.22952586206896552,0.10541310541310545,0.8573208722741432,0.28777589134125636,0.2857142857142857,0.27727272727272734,0.6869806094182825
German Credit,Adversarial Debiasing,Sex,strong,10.0,789,0.6466666666666666,0.7644444444444445,,0.004878445402065168,0.019230769230769273,0.007905138339920903,0.9939080109655803,0.08227108831445828,0.12962962962962965,0.07019474089558808,0.9038518606445487,0.20707070707070707,0.3076923076923077,0.09456264775413714,0.7670454545454546
German Credit,Adversarial Debiasing,Sex,strong,10.0,1000,0.71,0.8256513026052105,,0.020000000000000018,0.05820105820105814,0.021390374331550777,0.9795918367346939,0.03799019607843135,0.043740573152337814,0.022015823873409057,0.9610552763819096,0.07692307692307687,0.15000000000000002,0.0444444444444444,0.9230769230769231
Adult Income,Adversarial Debiasing,Age,weak,0.1,42,0.8321220186303614,0.5464601769911505,,0.1483600993904653,0.24537095352059454,0.24537095352059454,0.04513923251727686,0.1319650404450021,0.14953239607089425,0.14953239607089425,0.23544063869165463,0.1973718791064389,0.3020923520923521,0.3020923520923521,0.013140604467805518
Adult Income,Adversarial Debiasing,Age,weak,0.1,123,0.8495240045040434,0.631578947368421,,0.19171845627373255,0.24335558634588733,0.24335558634588733,0.042234091287689485,0.14729424251986573,0.08316929423032854,0.08316929423032854,0.31635583640568643,0.239968398055513,0.3189559066620536,0.3189559066620536,0.031810671211667814
Adult Income,Adversarial Debiasing,Age,weak,0.1,456,0.8479885351622479,0.6486870120652946,,0.20831812515670714,0.23164126464290208,0.23164126464290208,0.08432711237412674,0.15845153865181738,0.05881609796513154,0.05881609796513154,0.35228587334805694,0.26835106382978724,0.4848484848484848,0.4848484848484848,0.04450757575757576
Adult Income,Adversarial Debiasing,Age,weak,0.1,789,0.8490121813901116,0.6289308176100629,,0.18892942490472964,0.4092465753424658,0.4092465753424658,0.04818131672141196,0.14084149213562314,0.06061007728260309,0.06061007728260309,0.33969118622129935,0.23827692118020707,0.5423558897243108,0.5423558897243108,0.031826841338271905
Adult Income,Adversarial Debiasing,Age,weak,0.1,1000,0.8391851776026206,0.6402564689718342,,0.226052176600782,0.19563543003851092,0.19563543003851092,0.07925367220075015,0.17705328881569704,0.0978096740808605,0.0978096740808605,0.3312456030991397,0.2879446824441783,0.21016096579476862,0.21016096579476862,0.06220467988553944
Adult Income,Adversarial Debiasing,Age,medium,1.0,42,0.24076159279353054,0.38808679151885156,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
