dataset,mitigation,protected_attribute,model,seed,accuracy,f1,roc_auc,age_dpd,age_eod,age_eopd,age_di_ratio,sex_dpd,sex_eod,sex_eopd,sex_di_ratio,intersection_dpd,intersection_eod,intersection_eopd,intersection_di_ratio
Adult Income,Reweighing,Age,Random Forest,456,0.8432797625140751,0.6476409666283084,0.8757466701794645,0.21854645650224666,0.1285552336566318,0.1285552336566318,0.09440161425846536,0.18853989051846062,0.12506243279293466,0.12506243279293466,0.29311093376632363,0.28631151672246824,0.303030303030303,0.303030303030303,0.05842743188646017
Adult Income,Reweighing,Age,Random Forest,789,0.8406182823216296,0.6409960802397972,0.8823908051827984,0.2264303994622805,0.40625,0.40625,0.06422638384552178,0.1790857455469919,0.07995935794689134,0.07618185904713604,0.31947416692143077,0.2944386096080375,0.6040100250626567,0.6040100250626567,0.025913451882521976
Adult Income,Reweighing,Age,Random Forest,1000,0.8322243832531477,0.6239963294333563,0.8736765958237145,0.21863978811271673,0.08900299529311084,0.08900299529311084,0.101740962120121,0.18693627228301557,0.10206816986477996,0.10206816986477996,0.30037923725658583,0.2963094649175296,0.21002865329512888,0.21002865329512888,0.0355247930134786
Adult Income,Reweighing,Sex,Random Forest,42,0.8375473436380387,0.6402176377238722,0.8782101859214766,0.22505464836394354,0.13069656127975815,0.13069656127975815,0.10045121204530906,0.1404868720866443,0.05923495063542582,0.043090164347792004,0.4528756670958785,0.2754848228356583,0.6428571428571428,0.6428571428571428,0.06677233011669712
Adult Income,Reweighing,Sex,Random Forest,123,0.8358071450506704,0.6344576116681859,0.8729179736475956,0.22768729855048644,0.18138304572364283,0.18138304572364283,0.0782300134031454,0.15668641288237373,0.06958779681006635,0.0033140795496613418,0.39559887491311124,0.2863318135070672,0.21119299861814828,0.21119299861814828,0.0311251506181384
Adult Income,Reweighing,Sex,Random Forest,456,0.8421537516634251,0.6492265696087353,0.8720252999406586,0.2248419755739662,0.08441199512671979,0.07786874921274722,0.0920015732179959,0.15716327062409008,0.05380726000204621,0.04516020989170477,0.3990002789037728,0.2760315925209542,0.4696969696969697,0.4696969696969697,0.0760722956568654
Adult Income,Reweighing,Sex,Random Forest,789,0.8370355205241069,0.6376877560309513,0.8778220756416361,0.22842218837193368,0.3480308219178082,0.3480308219178082,0.07948927971170974,0.14649273830604603,0.05632988560860333,0.01999492850926987,0.4323733968320291,0.2793978853556607,0.4340175953079179,0.4340175953079179,0.05726398489831099
Adult Income,Reweighing,Sex,Random Forest,1000,0.8322243832531477,0.6265664160401002,0.8712193570295854,0.22520984810771522,0.0931040126045714,0.015489944373127895,0.09048569095868687,0.15820447259949466,0.07353301194217166,0.009814899645408048,0.3933331420012344,0.287128182643596,0.13324175824175824,0.024068767908309474,0.045358682378651906
Adult Income,Reweighing,Age,XGBoost,42,0.8663118026410073,0.6843885935234413,0.9202928508601769,0.20463779619964492,0.13240962337825923,0.13240962337825923,0.06414792180661819,0.14634443887763632,0.04491387044845334,0.028106666367818556,0.36577640934955763,0.2563914310165029,0.23809523809523808,0.23809523809523808,0.03938677179150241
Adult Income,Reweighing,Age,XGBoost,123,0.8670283550005118,0.6861560763469438,0.9164318400273684,0.20644842386317422,0.1933744804131503,0.1933744804131503,0.05264928574551337,0.16006148579515572,0.09005599854274515,0.09005599854274515,0.31844786693675625,0.25925088189464257,0.4423076923076923,0.4423076923076923,0.038969277966903436
Adult Income,Reweighing,Age,XGBoost,456,0.8647763332992118,0.6789793438639126,0.9173489623030013,0.19955340504784175,0.1835243733467692,0.1835243733467692,0.06986068222522097,0.16202588054465084,0.09245635580522149,0.09245635580522149,0.3086330228068564,0.25515796260477114,0.24495075568465485,0.24495075568465485,0.05073159030942672
Adult Income,Reweighing,Age,XGBoost,789,0.8668236257549391,0.6839931989312606,0.9216002903790611,0.20574770417866653,0.4139554794520548,0.4139554794520548,0.047063264856702425,0.156719434590273,0.07837758401097294,0.07837758401097294,0.32781327658904685,0.26117085786416344,0.4307131465026202,0.4307131465026202,0.02911817399033387
Adult Income,Reweighing,Age,XGBoost,1000,0.8615006653700481,0.6676492262343404,0.9170194941937946,0.1943811949451818,0.08943089430894302,0.08943089430894302,0.07310136633641298,0.15448163268554255,0.09159159159159158,0.09159159159159158,0.319448591899785,0.25085128479508156,0.20143266475644694,0.20143266475644694,0.04666259000561315
Adult Income,Reweighing,Sex,XGBoost,42,0.8648786979219981,0.6866096866096866,0.9180520091277713,0.2109870011673114,0.08600579418062726,0.08600579418062726,0.07197966407958778,0.09392951469328079,0.15124143379860255,0.15124143379860255,0.5752808592327221,0.2410613493202894,0.5714285714285714,0.5714285714285714,0.05657048525067807
Adult Income,Reweighing,Sex,XGBoost,123,0.8632408639574163,0.6793086893903024,0.9142521913713578,0.2097764159746003,0.2504849477264139,0.2504849477264139,0.05185734662844994,0.10670252541189745,0.09209204209586153,0.09209204209586153,0.5156556618166965,0.24581593133534735,0.5192307692307692,0.5192307692307692,0.030836290070382567
Adult Income,Reweighing,Sex,XGBoost,456,0.8602722898966118,0.6743020758768791,0.915153234342139,0.20315126740725678,0.13112482680438342,0.13112482680438342,0.08874395500211125,0.10681394180748396,0.10690550760064166,0.10690550760064166,0.5226683340748489,0.24423758865248224,0.3291347207009857,0.3291347207009857,0.04868784530386741
Adult Income,Reweighing,Sex,XGBoost,789,0.8634455932029891,0.6835863377609108,0.9184318361293554,0.21004225445284205,0.30222602739726023,0.30222602739726023,0.07380060345849171,0.09611917370055495,0.14915657651323477,0.14915657651323477,0.568956252100617,0.24635257049002007,0.47214076246334313,0.47214076246334313,0.04283723307178435
Adult Income,Reweighing,Sex,XGBoost,1000,0.8585320913092436,0.6663447609850314,0.9160788405290657,0.19889498888678545,0.053786287301591254,0.01335044929396656,0.08664434284242385,0.0912955755743655,0.15727591998778434,0.15727591998778434,0.5721664359545134,0.23195907662188928,0.15918577366779474,0.15918577366779474,0.0629256419453148
