dataset,model,accuracy_mean,accuracy_std,f1_mean,f1_std,auc_mean,auc_std,age_dpd_mean,age_dpd_std,age_eod_mean,age_eod_std,age_eopd_mean,age_eopd_std,age_di_mean,age_di_std,sex_dpd_mean,sex_dpd_std,sex_eod_mean,sex_eod_std,sex_eopd_mean,sex_eopd_std,sex_di_mean,sex_di_std,intersection_dpd_mean,intersection_dpd_std,intersection_eod_mean,intersection_eod_std,intersection_eopd_mean,intersection_eopd_std,intersection_di_mean,intersection_di_std
Adult Income,Logistic Regression,0.8508547446002661,0.002734304512067347,0.6548133289491591,0.006608750057356139,0.9020063876973197,0.003296485761892172,0.2167216822720539,0.003043775923585931,0.28300358944786896,0.12692654479040144,0.28300358944786896,0.12692654479040144,0.05194292563783474,0.013622091258166207,0.16912202686382566,0.004914722588468223,0.09402130905327007,0.022903351616071127,0.09351920258237031,0.023634123007364068,0.31563409721559743,0.016207924307993817,0.2766841316722576,0.002107138008844029,0.3938428738740547,0.15376987320296173,0.3938428738740547,0.15376987320296173,0.03040557909618219,0.0069789938619478934
Adult Income,Random Forest,0.8357661992015559,0.004196699857002647,0.6415112952326191,0.009600810482152762,0.877975479662001,0.00339284399934184,0.23469203708329509,0.0026846920327819406,0.20452768690569564,0.1326952466279494,0.18532361859434046,0.15637110381356956,0.08948435782910924,0.00815140553377662,0.18884302066717817,0.007801597960057584,0.09450849971881375,0.008601761988811863,0.07881957337991304,0.021489810291894066,0.324899751637861,0.02336621896818549,0.3074355845516662,0.0065151098005064864,0.3224197651073687,0.13028715272353264,0.3107301099386215,0.14977096107990365,0.039883854123428805,0.018887074623638183
Adult Income,XGBoost,0.8668236257549392,0.001642625297971298,0.6956825416775368,0.005115341808227745,0.9202891706770344,0.002024403654955513,0.21999265475385407,0.00403374157401432,0.20137265297843204,0.11816353086336251,0.1984928672746609,0.12252071538099071,0.06283078368845232,0.012138513787307655,0.16853587617516252,0.006436698880454023,0.07881743744230445,0.01876000277121978,0.07881743744230445,0.01876000277121978,0.3326339218394817,0.0188842906963544,0.2804978959988456,0.002150915490486143,0.3679049021154284,0.07757332719727983,0.3679049021154284,0.07757332719727983,0.035728883022563496,0.00989224593040695
German Credit,Logistic Regression,0.7066666666666667,0.012247448713915903,0.8161154795811404,0.012204359410591318,0.6496719576719577,0.02678789004162249,0.0978840504268399,0.05153343868341608,0.11684080458822108,0.09715028078699582,0.10576556506029611,0.10758950165981726,0.8911378116053333,0.06223341210148142,0.016995811631829904,0.01814070582847599,0.028203432613735237,0.010532207179481598,0.015044694747715992,0.013640602034863824,0.9818533993580525,0.019040564728455923,0.15512179133521392,0.07149022169512857,0.19573928156216167,0.10193134305477486,0.19030068507093362,0.10815030142153273,0.8297762796379097,0.08849688045643464
German Credit,Random Forest,0.6686666666666667,0.007673909622147575,0.7763183392848105,0.008408743446375105,0.6093174603174603,0.019605329087812217,0.12523902546154952,0.06006495210389488,0.1503899065200216,0.07501830916681924,0.07156206027428116,0.044567123716704043,0.842804225250678,0.07806870456896754,0.02977392343626606,0.016193394426007528,0.09786102032365293,0.06409465032101677,0.030356031227329196,0.02364004791662233,0.9623947330491067,0.020881818603238404,0.1803631060005386,0.08693475493256202,0.2747475854306878,0.031913122192304355,0.16267804776371514,0.08277561800557952,0.7797103213115955,0.10742553174683897
German Credit,XGBoost,0.6606666666666666,0.03031318011837237,0.7684115211822166,0.02428630025671269,0.6146613756613757,0.0343176118441429,0.10205794651590298,0.09629945166561105,0.1384055744556134,0.097536996350066,0.10599948150764067,0.027519333119380988,0.8706568151157725,0.11659625389492927,0.023962085458462457,0.016203273521386556,0.07973015208039366,0.0350294042191749,0.01831456715201658,0.013180136773239844,0.9696180377970537,0.020080581604005904,0.1952811328333584,0.10504374224435384,0.2822248016423298,0.11032060681354099,0.19492918461233988,0.07140776682563958,0.7672155980814771,0.11960884147248688
